"","","","","","","","","Survey","Question 1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q9","Q10","Q11","Q12","Q13","Q14","Q14"
"05/11/2022 1:41PM","05/11/2022 1:42PM","05/11/2022 1:41PM - 05/11/2022 2:41PM",58.282,"Yes","6277353f8e0a1b1e6e4dac3a","0.0","0.0","Participant 52",,1,5,2,,,,,6,"ANOTHER PERSON: “I was experiencing another person, e.g. holding hands”",4,4,4,4,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"05/11/2022 3:21PM","05/11/2022 3:22PM","05/11/2022 3:13PM - 05/11/2022 4:13PM",28.935,"Yes","6277353f8e0a1b1e6e4dac3a","0.0","0.0","Participant 52",,1,4,1,4,4,6,4,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"05/11/2022 5:10PM","05/11/2022 5:11PM","05/11/2022 5:10PM - 05/11/2022 6:10PM",84.105,"Yes","6277353f8e0a1b1e6e4dac3a","0.0","0.0","Participant 52",,1,4,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",3,3,2,2,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"05/11/2022 7:06PM","05/11/2022 7:06PM","05/11/2022 7:06PM - 05/11/2022 8:06PM",42.951,"Yes","6277353f8e0a1b1e6e4dac3a","0.0","0.0","Participant 52",,1,4,1,4,2,3,3,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"05/12/2022 10:09AM","05/12/2022 10:09AM","05/12/2022 09:20AM - 05/12/2022 10:20AM",28.882,"Yes","6277353f8e0a1b1e6e4dac3a","0.0","0.0","Participant 52",,1,4,2,,,,,5,"VISUAL IMAGERY: “I was experiencing visual imagery, e.g. imagining my dog”",4,4,2,2,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"05/12/2022 11:44AM","05/12/2022 11:45AM","05/12/2022 11:05AM - 05/12/2022 12:05PM",28.432,"Yes","6277353f8e0a1b1e6e4dac3a","0.0","0.0","Participant 52",,1,4,1,5,5,5,3,,,,,,,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"05/12/2022 3:19PM","05/12/2022 3:19PM","05/12/2022 3:17PM - 05/12/2022 4:17PM",29.203,"Yes","6277353f8e0a1b1e6e4dac3a","0.0","0.0","Participant 52",,1,4,1,3,3,4,3,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"05/12/2022 5:48PM","05/12/2022 5:51PM","05/12/2022 5:33PM - 05/12/2022 6:33PM",189.754,"Yes","6277353f8e0a1b1e6e4dac3a","0.0","0.0","Participant 52",,1,4,2,,,,,6,"ANOTHER PERSON: “I was experiencing another person, e.g. holding hands”",3,3,3,3,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"05/12/2022 7:26PM","05/12/2022 7:26PM","05/12/2022 7:26PM - 05/12/2022 8:26PM",40.368,"Yes","6277353f8e0a1b1e6e4dac3a","0.0","0.0","Participant 52",,1,4,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",4,4,4,4,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"05/13/2022 09:12AM","05/13/2022 09:12AM","05/13/2022 09:12AM - 05/13/2022 10:12AM",32.253,"Yes","6277353f8e0a1b1e6e4dac3a","0.0","0.0","Participant 52",,1,4,1,4,3,4,4,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"05/13/2022 11:01AM","05/13/2022 11:02AM","05/13/2022 11:01AM - 05/13/2022 12:01PM",76.767,"Yes","6277353f8e0a1b1e6e4dac3a","0.0","0.0","Participant 52",,1,4,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",4,4,4,3,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"05/13/2022 1:10PM","05/13/2022 1:10PM","05/13/2022 1:09PM - 05/13/2022 2:09PM",30.584,"Yes","6277353f8e0a1b1e6e4dac3a","0.0","0.0","Participant 52",,1,3,1,3,2,5,3,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"05/13/2022 3:16PM","05/13/2022 3:16PM","05/13/2022 3:13PM - 05/13/2022 4:13PM",31.129,"Yes","6277353f8e0a1b1e6e4dac3a","0.0","0.0","Participant 52",,1,4,1,4,4,6,3,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"05/13/2022 5:52PM","05/13/2022 5:53PM","05/13/2022 5:52PM - 05/13/2022 6:52PM",55.112,"Yes","6277353f8e0a1b1e6e4dac3a","0.0","0.0","Participant 52",,1,4,2,,,,,5,"VISUAL IMAGERY: “I was experiencing visual imagery, e.g. imagining my dog”",3,3,3,3,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"05/13/2022 7:24PM","05/13/2022 7:25PM","05/13/2022 7:24PM - 05/13/2022 8:24PM",71.566,"Yes","6277353f8e0a1b1e6e4dac3a","0.0","0.0","Participant 52",,1,5,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",4,3,4,4,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"05/14/2022 1:21PM","05/14/2022 1:29PM","05/14/2022 1:21PM - 05/14/2022 2:21PM",507.454,"Yes","6277353f8e0a1b1e6e4dac3a","0.0","0.0","Participant 52",,1,4,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",4,4,2,4,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"05/14/2022 3:12PM","05/14/2022 3:12PM","05/14/2022 3:12PM - 05/14/2022 4:12PM",24.573,"Yes","6277353f8e0a1b1e6e4dac3a","0.0","0.0","Participant 52",,1,4,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",4,4,2,3,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"05/14/2022 5:35PM","05/14/2022 5:37PM","05/14/2022 5:33PM - 05/14/2022 6:33PM",93.041,"Yes","6277353f8e0a1b1e6e4dac3a","0.0","0.0","Participant 52",,1,4,2,,,,,6,"ANOTHER PERSON: “I was experiencing another person, e.g. holding hands”",4,3,3,3,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"05/14/2022 7:49PM","05/14/2022 7:50PM","05/14/2022 7:49PM - 05/14/2022 8:49PM",64.297,"Yes","6277353f8e0a1b1e6e4dac3a","0.0","0.0","Participant 52",,1,4,1,3,4,3,3,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"05/08/2022 09:37AM","05/08/2022 09:39AM","05/08/2022 09:16AM - 05/08/2022 10:16AM",117.23,"Yes","6277379b8e0a1b1e6e4dac44","0.0","0.0","Participant 53",,1,5,1,4,4,5,5,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"05/08/2022 11:38AM","05/08/2022 11:39AM","05/08/2022 11:38AM - 05/08/2022 12:38PM",69.025,"Yes","6277379b8e0a1b1e6e4dac44","0.0","0.0","Participant 53",,2,3,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",3,4,3,3,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"05/08/2022 3:43PM","05/08/2022 3:44PM","05/08/2022 3:16PM - 05/08/2022 4:16PM",28.159,"Yes","6277379b8e0a1b1e6e4dac44","0.0","0.0","Participant 53",,1,6,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",2,2,3,6,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"05/08/2022 5:19PM","05/08/2022 5:19PM","05/08/2022 5:19PM - 05/08/2022 6:19PM",16.285,"Yes","6277379b8e0a1b1e6e4dac44","0.0","0.0","Participant 53",,1,2,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",5,2,5,3,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"05/08/2022 7:02PM","05/08/2022 7:02PM","05/08/2022 7:02PM - 05/08/2022 8:02PM",17.772,"Yes","6277379b8e0a1b1e6e4dac44","0.0","0.0","Participant 53",,1,5,1,5,5,5,5,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"05/09/2022 09:49AM","05/09/2022 09:49AM","05/09/2022 09:46AM - 05/09/2022 10:46AM",17.93,"Yes","6277379b8e0a1b1e6e4dac44","0.0","0.0","Participant 53",,1,5,1,5,4,5,3,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"05/09/2022 12:16PM","05/09/2022 12:16PM","05/09/2022 11:54AM - 05/09/2022 12:54PM",15.305,"Yes","6277379b8e0a1b1e6e4dac44","0.0","0.0","Participant 53",,1,5,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",3,3,5,3,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"05/09/2022 1:18PM","05/09/2022 1:18PM","05/09/2022 1:18PM - 05/09/2022 2:18PM",22.512,"Yes","6277379b8e0a1b1e6e4dac44","0.0","0.0","Participant 53",,2,4,1,4,3,5,4,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"05/09/2022 3:23PM","05/09/2022 3:24PM","05/09/2022 3:23PM - 05/09/2022 4:23PM",30.15,"Yes","6277379b8e0a1b1e6e4dac44","0.0","0.0","Participant 53",,1,3,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",3,5,5,4,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"05/09/2022 5:09PM","05/09/2022 5:09PM","05/09/2022 5:09PM - 05/09/2022 6:09PM",16.314,"Yes","6277379b8e0a1b1e6e4dac44","0.0","0.0","Participant 53",,1,5,1,5,5,4,5,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"05/09/2022 7:20PM","05/09/2022 7:20PM","05/09/2022 7:20PM - 05/09/2022 8:20PM",16.878,"Yes","6277379b8e0a1b1e6e4dac44","0.0","0.0","Participant 53",,1,5,1,5,5,3,5,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"05/10/2022 09:44AM","05/10/2022 09:44AM","05/10/2022 09:44AM - 05/10/2022 10:44AM",19.925,"Yes","6277379b8e0a1b1e6e4dac44","0.0","0.0","Participant 53",,1,5,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",5,5,6,5,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"05/10/2022 11:08AM","05/10/2022 11:08AM","05/10/2022 11:08AM - 05/10/2022 12:08PM",14.375,"Yes","6277379b8e0a1b1e6e4dac44","0.0","0.0","Participant 53",,2,5,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",3,3,5,5,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"05/10/2022 1:46PM","05/10/2022 1:47PM","05/10/2022 1:45PM - 05/10/2022 2:45PM",33.953,"Yes","6277379b8e0a1b1e6e4dac44","0.0","0.0","Participant 53",,2,5,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",5,5,5,5,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"05/10/2022 5:17PM","05/10/2022 5:17PM","05/10/2022 5:17PM - 05/10/2022 6:17PM",14.765,"Yes","6277379b8e0a1b1e6e4dac44","0.0","0.0","Participant 53",,2,4,1,4,5,5,3,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"05/10/2022 7:58PM","05/10/2022 7:58PM","05/10/2022 7:19PM - 05/10/2022 8:19PM",18.572,"Yes","6277379b8e0a1b1e6e4dac44","0.0","0.0","Participant 53",,1,5,2,,,,,5,"VISUAL IMAGERY: “I was experiencing visual imagery, e.g. imagining my dog”",5,5,5,5,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"05/08/2022 09:49AM","05/08/2022 09:50AM","05/08/2022 09:28AM - 05/08/2022 10:28AM",66.469,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,4,1,7,5,3,2,,,,,,,6,"driving"
"05/08/2022 12:00PM","05/08/2022 12:01PM","05/08/2022 11:41AM - 05/08/2022 12:41PM",55.597,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,5,2,,,,,6,"ANOTHER PERSON: “I was experiencing another person, e.g. holding hands”",3,5,3,3,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"05/08/2022 2:10PM","05/08/2022 2:11PM","05/08/2022 1:55PM - 05/08/2022 2:55PM",72.529,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,5,1,6,5,3,2,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"05/08/2022 3:58PM","05/08/2022 3:58PM","05/08/2022 3:58PM - 05/08/2022 4:58PM",35.546,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,6,1,7,6,5,5,,,,,,,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"05/08/2022 5:16PM","05/08/2022 5:16PM","05/08/2022 5:01PM - 05/08/2022 6:01PM",41.48,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,6,2,,,,,7,"BLANK MIND:  “I was not thinking about anything at all-- my mind was completely blank”",5,4,2,3,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"05/08/2022 7:27PM","05/08/2022 7:28PM","05/08/2022 7:12PM - 05/08/2022 8:12PM",82.499,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,5,2,,,,,6,"ANOTHER PERSON: “I was experiencing another person, e.g. holding hands”",2,5,3,2,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"05/09/2022 09:30AM","05/09/2022 09:30AM","05/09/2022 09:30AM - 05/09/2022 10:30AM",31.3,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,4,1,6,5,3,4,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"05/09/2022 12:04PM","05/09/2022 12:04PM","05/09/2022 11:49AM - 05/09/2022 12:49PM",21.017,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,4,1,6,4,5,4,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"05/09/2022 1:46PM","05/09/2022 1:46PM","05/09/2022 1:46PM - 05/09/2022 2:46PM",22.901,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,2,3,1,7,2,4,4,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"05/09/2022 3:44PM","05/09/2022 3:45PM","05/09/2022 3:40PM - 05/09/2022 4:40PM",25.279,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,3,1,4,3,4,3,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"05/09/2022 6:02PM","05/09/2022 6:02PM","05/09/2022 5:49PM - 05/09/2022 6:49PM",24.022,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,6,1,7,6,6,6,,,,,,,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"05/10/2022 09:43AM","05/10/2022 09:43AM","05/10/2022 09:39AM - 05/10/2022 10:39AM",21.575,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,6,1,7,5,5,4,,,,,,,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"05/10/2022 11:54AM","05/10/2022 11:55AM","05/10/2022 11:54AM - 05/10/2022 12:54PM",55.569,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,4,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",5,5,3,4,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"05/10/2022 1:17PM","05/10/2022 1:17PM","05/10/2022 1:02PM - 05/10/2022 2:02PM",41.079,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,5,1,7,5,4,4,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"05/10/2022 3:17PM","05/10/2022 3:18PM","05/10/2022 3:14PM - 05/10/2022 4:14PM",32.089,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,6,1,6,5,5,4,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"05/10/2022 5:43PM","05/10/2022 5:43PM","05/10/2022 5:36PM - 05/10/2022 6:36PM",17.61,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,1,1,7,2,6,4,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"05/11/2022 09:37AM","05/11/2022 09:37AM","05/11/2022 09:37AM - 05/11/2022 10:37AM",26.277,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,6,1,6,6,6,6,,,,,,,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"05/11/2022 11:36AM","05/11/2022 11:36AM","05/11/2022 11:18AM - 05/11/2022 12:18PM",20.188,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,6,1,6,5,3,4,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"05/11/2022 1:18PM","05/11/2022 1:18PM","05/11/2022 1:18PM - 05/11/2022 2:18PM",17.486,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,5,1,4,5,4,3,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"05/11/2022 6:10PM","05/11/2022 6:10PM","05/11/2022 5:56PM - 05/11/2022 6:56PM",16.125,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,6,1,6,6,5,4,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"05/12/2022 09:16AM","05/12/2022 09:16AM","05/12/2022 09:16AM - 05/12/2022 10:16AM",17.327,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,6,1,6,5,5,4,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"05/12/2022 11:08AM","05/12/2022 11:08AM","05/12/2022 11:08AM - 05/12/2022 12:08PM",16.468,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,5,1,7,4,4,3,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"05/12/2022 1:05PM","05/12/2022 1:05PM","05/12/2022 1:05PM - 05/12/2022 2:05PM",15.621,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,5,1,3,4,3,2,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"05/12/2022 3:06PM","05/12/2022 3:06PM","05/12/2022 3:06PM - 05/12/2022 4:06PM",16.214,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,5,1,5,4,3,2,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"05/12/2022 5:27PM","05/12/2022 5:27PM","05/12/2022 5:27PM - 05/12/2022 6:27PM",15.574,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,3,1,7,3,4,3,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"05/13/2022 11:48AM","05/13/2022 11:48AM","05/13/2022 11:48AM - 05/13/2022 12:48PM",14.013,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,5,1,4,4,4,3,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"05/13/2022 1:57PM","05/13/2022 1:57PM","05/13/2022 1:57PM - 05/13/2022 2:57PM",19.995,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,5,1,7,4,3,4,,,,,,,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"05/14/2022 09:54AM","05/14/2022 09:54AM","05/14/2022 09:49AM - 05/14/2022 10:49AM",16.147,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,5,1,7,5,7,5,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"05/14/2022 11:45AM","05/14/2022 11:45AM","05/14/2022 11:45AM - 05/14/2022 12:45PM",14.629,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,6,1,5,4,5,5,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"05/14/2022 5:17PM","05/14/2022 5:17PM","05/14/2022 5:17PM - 05/14/2022 6:17PM",22.073,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,4,1,7,4,5,3,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"05/14/2022 7:04PM","05/14/2022 7:04PM","05/14/2022 7:04PM - 05/14/2022 8:04PM",20.851,"Yes","627743718e0a1b1e6e4dac55","0.0","0.0","Participant 54",,1,5,1,4,4,4,5,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"05/09/2022 3:04PM","05/09/2022 3:05PM","05/09/2022 3:02PM - 05/09/2022 4:02PM",51.705,"Yes","627822b58e0a1b1e6e4db5d9","0.0","0.0","Participant 55",,1,6,2,,,,,1,"BODY: “I was experiencing body sensations, e.g. hunger” ",6,6,1,4,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"05/09/2022 6:00PM","05/09/2022 6:08PM","05/09/2022 5:36PM - 05/09/2022 6:36PM",494.384,"Yes","627822b58e0a1b1e6e4db5d9","0.0","0.0","Participant 55",,1,2,2,,,,,6,"ANOTHER PERSON: “I was experiencing another person, e.g. holding hands”",1,1,4,4,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"05/10/2022 11:14AM","05/10/2022 11:14AM","05/10/2022 11:14AM - 05/10/2022 12:14PM",38.206,"Yes","627822b58e0a1b1e6e4db5d9","0.0","0.0","Participant 55",,1,4,1,7,6,7,3,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"05/10/2022 1:29PM","05/10/2022 1:30PM","05/10/2022 1:12PM - 05/10/2022 2:12PM",51.425,"Yes","627822b58e0a1b1e6e4db5d9","0.0","0.0","Participant 55",,2,4,1,6,4,6,2,,,,,,,6,"Going to the bathroom "
"05/10/2022 3:09PM","05/10/2022 3:11PM","05/10/2022 3:08PM - 05/10/2022 4:08PM",77.354,"Yes","627822b58e0a1b1e6e4db5d9","0.0","0.0","Participant 55",,2,7,1,7,1,7,7,,,,,,,6,"Watching a tiktok that brought up some buried feelings that really helped me through my trauma "
"05/10/2022 7:03PM","05/10/2022 7:05PM","05/10/2022 7:02PM - 05/10/2022 8:02PM",64.482,"Yes","627822b58e0a1b1e6e4db5d9","0.0","0.0","Participant 55",,2,3,1,5,2,4,5,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"05/11/2022 12:35PM","05/11/2022 12:36PM","05/11/2022 11:46AM - 05/11/2022 12:46PM",44.669,"Yes","627822b58e0a1b1e6e4db5d9","0.0","0.0","Participant 55",,2,6,1,7,7,7,2,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"05/11/2022 2:24PM","05/11/2022 2:25PM","05/11/2022 1:29PM - 05/11/2022 2:29PM",56.518,"Yes","627822b58e0a1b1e6e4db5d9","0.0","0.0","Participant 55",,2,5,1,1,4,4,1,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"05/11/2022 3:49PM","05/11/2022 3:50PM","05/11/2022 3:49PM - 05/11/2022 4:49PM",75.033,"Yes","627822b58e0a1b1e6e4db5d9","0.0","0.0","Participant 55",,1,5,1,4,4,3,5,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"05/11/2022 5:07PM","05/11/2022 5:07PM","05/11/2022 5:07PM - 05/11/2022 6:07PM",39.892,"Yes","627822b58e0a1b1e6e4db5d9","0.0","0.0","Participant 55",,1,2,1,3,3,5,2,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"05/11/2022 7:20PM","05/11/2022 7:21PM","05/11/2022 7:20PM - 05/11/2022 8:20PM",67.619,"Yes","627822b58e0a1b1e6e4db5d9","0.0","0.0","Participant 55",,1,4,2,,,,,5,"VISUAL IMAGERY: “I was experiencing visual imagery, e.g. imagining my dog”",1,4,2,3,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"05/12/2022 2:15PM","05/12/2022 2:16PM","05/12/2022 1:22PM - 05/12/2022 2:22PM",39.806,"Yes","627822b58e0a1b1e6e4db5d9","0.0","0.0","Participant 55",,1,2,1,7,3,5,2,,,,,,,6,"Apartment searching "
"05/12/2022 6:08PM","05/12/2022 6:09PM","05/12/2022 5:19PM - 05/12/2022 6:19PM",40.31,"Yes","627822b58e0a1b1e6e4db5d9","0.0","0.0","Participant 55",,2,4,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",5,3,3,3,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"05/12/2022 7:44PM","05/12/2022 7:45PM","05/12/2022 7:08PM - 05/12/2022 8:08PM",29.307,"Yes","627822b58e0a1b1e6e4db5d9","0.0","0.0","Participant 55",,1,5,1,1,4,1,2,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
